#,Segmentname_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304,Änderung,Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt,,Nachrichten-Kopfsegment,,UNH,,,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt
22,Gültigkeitsbeginn,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,,,Gültigkeitsbeginn,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,
23,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden ,,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden 
24,Vorgängerversion,SG1,RFF,,,,,Muss,,,Vorgängerversion,SG1,RFF,,,,,Muss,
25,Vorgängerversion,SG1,RFF,1153,,ACW,Referenznummer einer vorangegangenen Nachricht,X,,,Vorgängerversion,SG1,RFF,1153,,ACW,Referenznummer einer vorangegangenen Nachricht,X,
26,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT,,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT
27,Prüfidentifikator,SG1,,,,,,Muss,,,Prüfidentifikator,SG1,,,,,,Muss,
28,Prüfidentifikator,SG1,RFF,,,,,Muss,,,Prüfidentifikator,SG1,RFF,,,,,Muss,
29,Prüfidentifikator,SG1,RFF,1153,,Z13,Prüfidentifikator,X,,,Prüfidentifikator,SG1,RFF,1153,,Z13,Prüfidentifikator,X,
30,Prüfidentifikator,SG1,RFF,1154,,27003,Preisblatt GPKE,X,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,1154,,27003,Preisblatt NB-Leistungen,X,
31,Name und Anschrift,SG2,,,,,,Muss,,ENTFÄLLT,,,,,,,,,
32,Name und Anschrift,SG2,NAD,,,,,Muss,,ENTFÄLLT,,,,,,,,,
33,Name und Anschrift,SG2,NAD,3035,,,,MR,,ENTFÄLLT,,,,,,,,,
34,Name und Anschrift,SG2,NAD,3039,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom,ENTFÄLLT,,,,,,,,,
35,Name und Anschrift,SG2,NAD,3055,,9,GS1,X,,ENTFÄLLT,,,,,,,,,
36,Name und Anschrift,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,ENTFÄLLT,,,,,,,,,
37,Name und Anschrift,SG2,,,,,,Muss,,ENTFÄLLT,,,,,,,,,
38,Name und Anschrift,SG2,NAD,,,,,Muss,,ENTFÄLLT,,,,,,,,,
39,Name und Anschrift,SG2,NAD,3035,,Nachrichtenaussteller bzw. -absender,,MS,,ENTFÄLLT,,,,,,,,,
40,Name und Anschrift,SG2,NAD,3039,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom,ENTFÄLLT,,,,,,,,,
41,Name und Anschrift,SG2,NAD,3055,,9,GS1,X,,ENTFÄLLT,,,,,,,,,
42,Name und Anschrift,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,ENTFÄLLT,,,,,,,,,
43,,,,,,,,,,NEU,Empfänger-ID,SG2,,,,,,Muss,
44,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,,,,,Muss,
45,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,3035,,,,MR,
46,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,3039,,,"Beteiligter, Identifikation",X,
47,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,3055,,9,GS1,X,
48,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
49,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
50,,,,,,,,,,NEU,Sender-ID,SG2,,,,,,Muss,
51,,,,,,,,,,NEU,Sender-ID,SG2,NAD,,,,,Muss,
52,,,,,,,,,,NEU,Sender-ID,SG2,NAD,3035,,Nachrichtenaussteller bzw. -absender,,MS,
53,,,,,,,,,,NEU,Sender-ID,SG2,NAD,3039,,,"Beteiligter, Identifikation",X,
54,,,,,,,,,,NEU,Sender-ID,SG2,NAD,3055,,9,GS1,X,
55,,,,,,,,,,NEU,Sender-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
56,,,,,,,,,,NEU,Sender-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
57,Ansprechpartner,SG4,,,,,,Kann,,,Ansprechpartner,SG4,,,,,,Kann,
58,Ansprechpartner,SG4,CTA,,,,,Muss,,,Ansprechpartner,SG4,CTA,,,,,Muss,
59,Ansprechpartner,SG4,CTA,3139,,,,IC,,,Ansprechpartner,SG4,CTA,3139,,,,IC,
60,Ansprechpartner,SG4,CTA,3412,,,Kontakt,X,,,Ansprechpartner,SG4,CTA,3412,,,Kontakt,X,
61,Kommunikationsverbindung,SG4,COM,,,,,Muss,,,Kommunikationsverbindung,SG4,COM,,,,,Muss,
62,Kommunikationsverbindung,SG4,COM,3148,,,"Kommunikationsadresse, Identifikation",X,,,Kommunikationsverbindung,SG4,COM,3148,,,"Kommunikationsadresse, Identifikation",X,
63,Kommunikationsverbindung,SG4,COM,3155,,EM,E-Mail,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,EM,E-Mail,X [1P0..1],
64,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],
65,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],
66,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],
67,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],
68,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden,,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden
69,Währungsangaben,SG6,CUX,,,,,Muss,,,Währungsangaben,SG6,CUX,,,,,Muss,
70,Währungsangaben,SG6,CUX,6347,,2,Referenzwährung,X,,,Währungsangaben,SG6,CUX,6347,,2,Referenzwährung,X,
71,Währungsangaben,SG6,CUX,6345,,EUR,Euro,X,,,Währungsangaben,SG6,CUX,6345,,EUR,Euro,X,
72,Währungsangaben,SG6,CUX,6343,,8,Währung der Preisliste,X,,,Währungsangaben,SG6,CUX,6343,,8,Währung der Preisliste,X,
73,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden",,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden"
74,Produktgruppen- Information,SG17,PGI,,,,,Muss,,,Produktgruppen- Information,SG17,PGI,,,,,Muss,
75,Produktgruppen- Information,SG17,PGI,5379,,,,9,,,Produktgruppen- Information,SG17,PGI,5379,,,,9,
76,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
77,Positionsdaten,SG36,LIN,,,,,Muss,,,Positionsdaten,SG36,LIN,,,,,Muss,
78,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n",,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n"
79,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X [942][509],"[509] Hinweis: Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3",,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X [942][509],"[509] Hinweis: Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3"
80,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,,,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,
81,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat",,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat"
82,Preisangaben,SG40,PRI,,,,,Muss,,,Preisangaben,SG40,PRI,,,,,Muss,
83,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,,,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,
84,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946] [513],"[513] Hinweis: Die anzugebende Einheit ist in der Codeliste definiert
[946] Format: max. 11 Nachkommastellen",,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946] [513],"[513] Hinweis: Die anzugebende Einheit ist in der Codeliste definiert
[946] Format: max. 11 Nachkommastellen"
85,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden",,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden"
86,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,,,,Muss,,,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,,,,Muss,
87,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,,Artikel-ID,,Z01,,,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,,Artikel-ID,,Z01,
88,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
89,Positionsdaten,SG36,LIN,,,,,Muss,,,Positionsdaten,SG36,LIN,,,,,Muss,
90,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n",,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n"
91,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) [510],"[510] Hinweis: Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8",,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) [510],"[510] Hinweis: Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8"
92,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,,,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,
93,Preisangaben,SG40,,,,,,Muss,,,Preisangaben,SG40,,,,,,Muss,
94,Preisangaben,SG40,PRI,,,,,Muss,,,Preisangaben,SG40,PRI,,,,,Muss,
95,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,,,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,
96,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen,,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen
97,Zonenintervallgrenzen,SG40,RNG,,,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1,,Zonenintervallgrenzen,SG40,RNG,,,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1
98,Zonenintervallgrenzen,SG40,RNG,6167,,,,10,,,Zonenintervallgrenzen,SG40,RNG,6167,,,,10,
99,Zonenintervallgrenzen,SG40,RNG,6411,,KWH,kilowatt hour,X,,,Zonenintervallgrenzen,SG40,RNG,6411,,KWH,kilowatt hour,X,
100,Zonenintervallgrenzen,SG40,RNG,6162,,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0",,Zonenintervallgrenzen,SG40,RNG,6162,,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0"
101,Zonenintervallgrenzen,SG40,RNG,6152,,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall",,Zonenintervallgrenzen,SG40,RNG,6152,,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall"
102,Nachrichten-Endesegment,,UNT,,,,,Muss,,,Nachrichten-Endesegment,,UNT,,,,,Muss,
103,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einer Nachricht,X,,,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einer Nachricht,X,
104,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,,,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
