#,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Änderung,Segmentname_FV2504,Segmentgruppe_FV2504,Segment_FV2504,Datenelement_FV2504,Segment ID_FV2504,Code_FV2504,Beschreibung_FV2504,Bedingungsausdruck_FV2504,Bedingung_FV2504
1,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt,,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt
21,Gültigkeitsbeginn,,DTM,2380,00005,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],,,Gültigkeitsbeginn,,DTM,2380,00005,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],
22,Gültigkeitsbeginn,,DTM,2379,00005,303,CCYYMMDDHHMMZZZ,X,,,Gültigkeitsbeginn,,DTM,2379,00005,303,CCYYMMDDHHMMZZZ,X,
23,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden ,ÄNDERUNG,Vorgängerversion,SG1,,,,,,Soll [1] ∧ (([50] ∧ [52]) ⊻ [51]),"[1] Wenn Vorgängerversion vorhanden
[50] Wenn MP-ID aus RFF+Z56 mit MP-ID aus NAD+MS identisch ist
[51] Wenn BGM+Z54 vorhanden
[52] Wenn BGM+Z54 nicht vorhanden"
24,Vorgängerversion,SG1,RFF,,00006,,,Muss,,,Vorgängerversion,SG1,RFF,,00006,,,Muss,
25,Vorgängerversion,SG1,RFF,1153,00006,ACW,Referenznummer einer vorangegangenen Nachricht,X,,,Vorgängerversion,SG1,RFF,1153,00006,ACW,Referenznummer einer vorangegangenen Nachricht,X,
26,Vorgängerversion,SG1,RFF,1154,00006,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT,,Vorgängerversion,SG1,RFF,1154,00006,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT
27,,,,,,,,,,NEU,Preise des Netzbetreibers,SG1,,,,,,Muss [52],[52] Wenn BGM+Z54 nicht vorhanden
28,,,,,,,,,,NEU,Preise des Netzbetreibers,SG1,RFF,,00007,,,Muss,
29,,,,,,,,,,NEU,Preise des Netzbetreibers,SG1,RFF,1153,00007,Z56,Preise des Netzbetreibers,X,
30,,,,,,,,,,NEU,Preise des Netzbetreibers,SG1,RFF,1154,00007,,MP-ID,X,
31,Prüfidentifikator,SG1,,,,,,Muss,,,Prüfidentifikator,SG1,,,,,,Muss,
32,Prüfidentifikator,SG1,RFF,,00007,,,Muss,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,,00008,,,Muss,
33,Prüfidentifikator,SG1,RFF,1153,00007,Z13,Prüfidentifikator,X,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,1153,00008,Z13,Prüfidentifikator,X,
34,Prüfidentifikator,SG1,RFF,1154,00007,27003,Preisblatt NB-Leistungen,X,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,1154,00008,27003,Preisblatt NB-Leistungen,X,
35,Empfänger-ID,SG2,,,,,,Muss,,,Empfänger-ID,SG2,,,,,,Muss,
36,Empfänger-ID,SG2,NAD,,00008,,,Muss,,ÄNDERUNG,Empfänger-ID,SG2,NAD,,00009,,,Muss,
37,Empfänger-ID,SG2,NAD,3035,00008,,,MR,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3035,00009,,,MR,
38,Empfänger-ID,SG2,NAD,3039,00008,,"Beteiligter, Identifikation",X,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3039,00009,,"Beteiligter, Identifikation",X,
39,Empfänger-ID,SG2,NAD,3055,00008,9,GS1,X,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3055,00009,9,GS1,X,
40,Empfänger-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,Empfänger-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
41,Empfänger-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,,,Empfänger-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
42,Sender-ID,SG2,,,,,,Muss,,,Sender-ID,SG2,,,,,,Muss,
43,Sender-ID,SG2,NAD,,00009,,,Muss,,ÄNDERUNG,Sender-ID,SG2,NAD,,00010,,,Muss,
44,Sender-ID,SG2,NAD,3035,00009,Nachrichtenaussteller bzw. -absender,,MS,,ÄNDERUNG,Sender-ID,SG2,NAD,3035,00010,Nachrichtenaussteller bzw. -absender,,MS,
45,Sender-ID,SG2,NAD,3039,00009,,"Beteiligter, Identifikation",X,,ÄNDERUNG,Sender-ID,SG2,NAD,3039,00010,,"Beteiligter, Identifikation",X,
46,Sender-ID,SG2,NAD,3055,00009,9,GS1,X,,ÄNDERUNG,Sender-ID,SG2,NAD,3055,00010,9,GS1,X,
47,Sender-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,Sender-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
48,Sender-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,,,Sender-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
49,Ansprechpartner,SG4,,,,,,Kann,,,Ansprechpartner,SG4,,,,,,Kann,
50,Ansprechpartner,SG4,CTA,,00011,,,Muss,,ÄNDERUNG,Ansprechpartner,SG4,CTA,,00012,,,Muss,
51,Ansprechpartner,SG4,CTA,3139,00011,,,IC,,ÄNDERUNG,Ansprechpartner,SG4,CTA,3139,00012,,,IC,
52,Ansprechpartner,SG4,CTA,3412,00011,,Kontakt,X,,ÄNDERUNG,Ansprechpartner,SG4,CTA,3412,00012,,Kontakt,X,
53,Kommunikationsverbindung,SG4,COM,,00012,,,Muss,,ÄNDERUNG,Kommunikationsverbindun g,SG4,COM,,00013,,,Muss,
54,Kommunikationsverbindung,SG4,COM,3148,00012,,"Kommunikationsadresse, Identifikation",X (([939][37]) ∨ ([940] [38])) ∧ [519],"[37] Wenn im DE3155 in demselben COM der Code EM vorhanden ist
[38] Wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[519] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",ÄNDERUNG,Kommunikationsverbindun g,SG4,COM,3148,00013,,"Kommunikationsadresse, Identifikation",X (([939][37]) ∨ ([940] [38])) ∧ [519],"[37] Wenn im DE3155 in demselben COM der Code EM vorhanden ist
[38] Wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[519] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen"
55,Kommunikationsverbindung,SG4,COM,3155,00012,EM,E-Mail,X [1P0..1],,ÄNDERUNG,Kommunikationsverbindun g,SG4,COM,3155,00013,EM,E-Mail,X [1P0..1],
56,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],,,Kommunikationsverbindun g,SG4,COM,3155,,FX,Telefax,X [1P0..1],
57,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],,,Kommunikationsverbindun g,SG4,COM,3155,,TE,Telefon,X [1P0..1],
58,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],,,Kommunikationsverbindun g,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],
59,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],,,Kommunikationsverbindun g,SG4,COM,3155,,AL,Handy,X [1P0..1],
60,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden,,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden
61,Währungsangaben,SG6,CUX,,00013,,,Muss,,ÄNDERUNG,Währungsangaben,SG6,CUX,,00014,,,Muss,
62,Währungsangaben,SG6,CUX,6347,00013,2,Referenzwährung,X,,ÄNDERUNG,Währungsangaben,SG6,CUX,6347,00014,2,Referenzwährung,X,
63,Währungsangaben,SG6,CUX,6345,00013,EUR,Euro,X,,ÄNDERUNG,Währungsangaben,SG6,CUX,6345,00014,EUR,Euro,X,
64,Währungsangaben,SG6,CUX,6343,00013,8,Währung der Preisliste,X,,ÄNDERUNG,Währungsangaben,SG6,CUX,6343,00014,8,Währung der Preisliste,X,
65,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden",,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden"
66,Produktgruppen- Information,SG17,PGI,,00014,,,Muss,,ÄNDERUNG,Produktgruppen- Information,SG17,PGI,,00015,,,Muss,
67,Produktgruppen- Information,SG17,PGI,5379,00014,,,9,,ÄNDERUNG,Produktgruppen- Information,SG17,PGI,5379,00015,,,9,
68,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
69,Positionsdaten,SG36,LIN,,00015,,,Muss,,ÄNDERUNG,Positionsdaten,SG36,LIN,,00016,,,Muss,
70,Positionsdaten,SG36,LIN,1082,00015,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend",ÄNDERUNG,Positionsdaten,SG36,LIN,1082,00016,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
71,Positionsdaten,SG36,LIN,7140,00015,,Produkt-/Leistungsnummer,X [942] ∧ [41],"[41] Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3",ÄNDERUNG,Positionsdaten,SG36,LIN,7140,00016,,Produkt-/Leistungsnummer,X [942] ∧ [41],"[41] Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3"
72,Positionsdaten,SG36,LIN,7143,00015,Z09,Artikel-ID,X,,ÄNDERUNG,Positionsdaten,SG36,LIN,7143,00016,Z09,Artikel-ID,X,
73,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat",ÄNDERUNG,Preisangaben,SG40,,,,,,Muss [22] ∧ [53],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat
[53] Diese SG40 darf genau einmal in der SG36 angegeben werden"
74,Preisangaben,SG40,PRI,,00018,,,Muss,,ÄNDERUNG,Preisangaben,SG40,PRI,,00019,,,Muss,
75,Preisangaben,SG40,PRI,5125,00018,CAL,Berechnungspreis,X,,ÄNDERUNG,Preisangaben,SG40,PRI,5125,00019,CAL,Berechnungspreis,X,
76,Preisangaben,SG40,PRI,5118,00018,,"Preis, Betrag",X ([946] [513]) ∧ (([968] [48]) ⊻ ([902] [49])),"[48] Wenn in dieser SG36 LIN in DE7140 einer der Codes 1-01-6- 005 / 1-01-9-001 / 1-01-9-002 / 1-02-0-015 / 1-03-8-001 / 1-03- 8-002 / 1-03-8-003 / 1-03-8-004 / 1-03-9-001 / 1-03-9-002 / 1-03- 9-003 / 1-03-9-004 / 1-07-4-001 vorhanden
[49] Wenn in dieser SG36 LIN in DE7140 keiner der Codes 1-01-6- 005 / 1-01-9-001 / 1-01-9-002 / 1-02-0-015 / 1-03-8-001 / 1-03- 8-002 / 1-03-8-003 / 1-03-8-004 / 1-03-9-001 / 1-03-9-002 / 1-03- 9-003 / 1-03-9-004 / 1-07-4-001 vorhanden
[513] Hinweis: Die zum Preis gehörende Einheit ist in der Codeliste definiert
[902] Format: Möglicher Wert: ≥ 0
[946] Format: max. 11 Nachkommastellen
[968] Format: Möglicher Wert: ≤ 0",ÄNDERUNG,Preisangaben,SG40,PRI,5118,00019,,"Preis, Betrag",X ([946] [513]) ∧ (([968] [48]) ⊻ ([902] [49])),"[48] Wenn in dieser SG36 LIN in DE7140 einer der Codes 1-01-6- 005 / 1-01-9-001 / 1-01-9-002 / 1-02-0-015 / 1-03-8-001 / 1-03- 8-002 / 1-03-8-003 / 1-03-8-004 / 1-03-9-001 / 1-03-9-002 / 1-03- 9-003 / 1-03-9-004 / 1-07-4-001 vorhanden
[49] Wenn in dieser SG36 LIN in DE7140 keiner der Codes 1-01-6- 005 / 1-01-9-001 / 1-01-9-002 / 1-02-0-015 / 1-03-8-001 / 1-03- 8-002 / 1-03-8-003 / 1-03-8-004 / 1-03-9-001 / 1-03-9-002 / 1-03- 9-003 / 1-03-9-004 / 1-07-4-001 vorhanden
[513] Hinweis: Die zum Preis gehörende Einheit ist in der Codeliste definiert
[902] Format: Möglicher Wert: ≥ 0
[946] Format: max. 11 Nachkommastellen
[968] Format: Möglicher Wert: ≤ 0"
77,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden",,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden"
78,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,00020,,,Muss,,ÄNDERUNG,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,00022,,,Muss,
79,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,00020,Artikel-ID,,Z01,,ÄNDERUNG,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,00022,Artikel-ID,,Z01,
80,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
81,Positionsdaten,SG36,LIN,,00021,,,Muss,,ÄNDERUNG,Positionsdaten,SG36,LIN,,00023,,,Muss,
82,Positionsdaten,SG36,LIN,1082,00021,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend",ÄNDERUNG,Positionsdaten,SG36,LIN,1082,00023,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
83,Positionsdaten,SG36,LIN,7140,00021,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) ∧ [42],"[42] Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8",ÄNDERUNG,Positionsdaten,SG36,LIN,7140,00023,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) ∧ [42],"[42] Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8"
84,Positionsdaten,SG36,LIN,7143,00021,Z09,Artikel-ID,X,,ÄNDERUNG,Positionsdaten,SG36,LIN,7143,00023,Z09,Artikel-ID,X,
85,Preisangaben,SG40,,,,,,Muss,,,Preisangaben,SG40,,,,,,Muss,
86,Preisangaben,SG40,PRI,,00022,,,Muss,,ÄNDERUNG,Preisangaben,SG40,PRI,,00024,,,Muss,
87,Preisangaben,SG40,PRI,5125,00022,CAL,Berechnungspreis,X,,ÄNDERUNG,Preisangaben,SG40,PRI,5125,00024,CAL,Berechnungspreis,X,
88,Preisangaben,SG40,PRI,5118,00022,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen,ÄNDERUNG,Preisangaben,SG40,PRI,5118,00024,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen
89,Zonenintervallgrenzen,SG40,RNG,,00023,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1,ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,,00025,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1
90,Zonenintervallgrenzen,SG40,RNG,6167,00023,,,10,,ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6167,00025,,,10,
91,Zonenintervallgrenzen,SG40,RNG,6411,00023,KWH,kilowatt hour,X,,ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6411,00025,KWH,kilowatt hour,X,
92,Zonenintervallgrenzen,SG40,RNG,6162,00023,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0",ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6162,00025,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0"
93,Zonenintervallgrenzen,SG40,RNG,6152,00023,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall",ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6152,00025,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall"
94,Nachrichten-Endesegment,,UNT,,00024,,,Muss,,ÄNDERUNG,Nachrichten-Endesegment,,UNT,,00026,,,Muss,
95,Nachrichten-Endesegment,,UNT,0074,00024,,Anzahl der Segmente in einer Nachricht,X,,ÄNDERUNG,Nachrichten-Endesegment,,UNT,0074,00026,,Anzahl der Segmente in einer Nachricht,X,
96,Nachrichten-Endesegment,,UNT,0062,00024,,Nachrichten-Referenznummer,X,,ÄNDERUNG,Nachrichten-Endesegment,,UNT,0062,00026,,Nachrichten-Referenznummer,X,
