#,Segmentname_FV2210,Segmentgruppe_FV2210,Segment_FV2210,Datenelement_FV2210,Segment ID_FV2210,Code_FV2210,Beschreibung_FV2210,Bedingungsausdruck_FV2210,Bedingung_FV2210,Änderung,Segmentname_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt,,Nachrichten-Kopfsegment,,UNH,,,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt
22,Gültigkeitsbeginn,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,,,Gültigkeitsbeginn,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,
23,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden ,,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden 
24,Vorgängerversion,SG1,RFF,,,,,Muss,,,Vorgängerversion,SG1,RFF,,,,,Muss,
25,Vorgängerversion,SG1,RFF,1153,,ACW,Referenznummer einer vorangegangenen Nachricht,X,,,Vorgängerversion,SG1,RFF,1153,,ACW,Referenznummer einer vorangegangenen Nachricht,X,
26,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT,,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT
27,Prüfidentifikator,SG1,,,,,,Muss,,,Prüfidentifikator,SG1,,,,,,Muss,
28,Prüfidentifikator,SG1,RFF,,,,,Muss,,,Prüfidentifikator,SG1,RFF,,,,,Muss,
29,Prüfidentifikator,SG1,RFF,1153,,Z13,Prüfidentifikator,X,,,Prüfidentifikator,SG1,RFF,1153,,Z13,Prüfidentifikator,X,
30,Prüfidentifikator,SG1,RFF,1154,,27003,Preisblatt GPKE,X,,,Prüfidentifikator,SG1,RFF,1154,,27003,Preisblatt GPKE,X,
31,Name und Anschrift,SG2,,,,,,Muss,,,Name und Anschrift,SG2,,,,,,Muss,
32,Name und Anschrift,SG2,NAD,,,,,Muss,,,Name und Anschrift,SG2,NAD,,,,,Muss,
33,Name und Anschrift,SG2,NAD,3035,,,,MR,,,Name und Anschrift,SG2,NAD,3035,,,,MR,
34,Name und Anschrift,SG2,NAD,3039,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom,,Name und Anschrift,SG2,NAD,3039,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom
35,Name und Anschrift,SG2,NAD,3055,,9,GS1,X,,,Name und Anschrift,SG2,NAD,3055,,9,GS1,X,
36,Name und Anschrift,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,Name und Anschrift,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
37,Name und Anschrift,SG2,,,,,,Muss,,,Name und Anschrift,SG2,,,,,,Muss,
38,Name und Anschrift,SG2,NAD,,,,,Muss,,,Name und Anschrift,SG2,NAD,,,,,Muss,
39,Name und Anschrift,SG2,NAD,3035,,Nachrichtenaussteller bzw. -absender,,MS,,,Name und Anschrift,SG2,NAD,3035,,Nachrichtenaussteller bzw. -absender,,MS,
40,Name und Anschrift,SG2,NAD,3039,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom,,Name und Anschrift,SG2,NAD,3039,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom
41,Name und Anschrift,SG2,NAD,3055,,9,GS1,X,,,Name und Anschrift,SG2,NAD,3055,,9,GS1,X,
42,Name und Anschrift,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,Name und Anschrift,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
43,Ansprechpartner,SG4,,,,,,Kann,,,Ansprechpartner,SG4,,,,,,Kann,
44,Ansprechpartner,SG4,CTA,,,,,Muss,,,Ansprechpartner,SG4,CTA,,,,,Muss,
45,Ansprechpartner,SG4,CTA,3139,,,,IC,,,Ansprechpartner,SG4,CTA,3139,,,,IC,
46,Ansprechpartner,SG4,CTA,3412,,,Kontakt,X,,,Ansprechpartner,SG4,CTA,3412,,,Kontakt,X,
47,Kommunikationsverbindung,SG4,COM,,,,,Muss,,,Kommunikationsverbindung,SG4,COM,,,,,Muss,
48,Kommunikationsverbindung,SG4,COM,3148,,,"Kommunikationsadresse, Identifikation",X,,,Kommunikationsverbindung,SG4,COM,3148,,,"Kommunikationsadresse, Identifikation",X,
49,Kommunikationsverbindung,SG4,COM,3155,,EM,E-Mail,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,EM,E-Mail,X [1P0..1],
50,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],
51,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],
52,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],
53,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],,,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],
54,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden,,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden
55,Währungsangaben,SG6,CUX,,,,,Muss,,,Währungsangaben,SG6,CUX,,,,,Muss,
56,Währungsangaben,SG6,CUX,6347,,2,Referenzwährung,X,,,Währungsangaben,SG6,CUX,6347,,2,Referenzwährung,X,
57,Währungsangaben,SG6,CUX,6345,,EUR,Euro,X,,,Währungsangaben,SG6,CUX,6345,,EUR,Euro,X,
58,Währungsangaben,SG6,CUX,6343,,8,Währung der Preisliste,X,,,Währungsangaben,SG6,CUX,6343,,8,Währung der Preisliste,X,
59,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden",,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden"
60,Produktgruppen- Information,SG17,PGI,,,,,Muss,,,Produktgruppen- Information,SG17,PGI,,,,,Muss,
61,Produktgruppen- Information,SG17,PGI,5379,,,,9,,,Produktgruppen- Information,SG17,PGI,5379,,,,9,
62,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
63,Positionsdaten,SG36,LIN,,,,,Muss,,,Positionsdaten,SG36,LIN,,,,,Muss,
64,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n",,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n"
65,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X [942][509],"[509] Hinweis: Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3",,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X [942][509],"[509] Hinweis: Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3"
66,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,,,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,
67,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat",,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat"
68,Preisangaben,SG40,PRI,,,,,Muss,,,Preisangaben,SG40,PRI,,,,,Muss,
69,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,,,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,
70,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen,ÄNDERUNG,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946] [513],"[513] Hinweis: Die anzugebende Einheit ist in der Codeliste definiert
[946] Format: max. 11 Nachkommastellen"
71,,,,,,,,,,NEU,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden"
72,,,,,,,,,,NEU,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,,,,Muss,
73,,,,,,,,,,NEU,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,,Artikel-ID,,Z01,
74,,,,,,,,,,NEU,Positionsdaten,SG36,,,,,,Muss,
75,,,,,,,,,,NEU,Positionsdaten,SG36,LIN,,,,,Muss,
76,,,,,,,,,,NEU,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n"
77,,,,,,,,,,NEU,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) [510],"[510] Hinweis: Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8"
78,,,,,,,,,,NEU,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,
79,Preisangaben,SG40,PRI,6411,,DAY,Tag,X [25],[25] Wenn Preis in DE5118 zeitabhängig,ÄNDERUNG,Preisangaben,SG40,,,,,,Muss,
80,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden",ENTFÄLLT,,,,,,,,,
81,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,,,,Muss,,ENTFÄLLT,,,,,,,,,
82,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,,Artikel-ID,,Z01,,ENTFÄLLT,,,,,,,,,
83,Positionsdaten,SG36,,,,,,Muss,,ENTFÄLLT,,,,,,,,,
84,Positionsdaten,SG36,LIN,,,,,Muss,,ENTFÄLLT,,,,,,,,,
85,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n",ENTFÄLLT,,,,,,,,,
86,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) [510],"[510] Hinweis: Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8",ENTFÄLLT,,,,,,,,,
87,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,,ENTFÄLLT,,,,,,,,,
88,Preisangaben,SG40,,,,,,Muss,,ÄNDERUNG,Preisangaben,SG40,PRI,,,,,Muss,
89,Preisangaben,SG40,PRI,,,,,Muss,,ÄNDERUNG,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,
90,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,,ÄNDERUNG,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen
91,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen,ENTFÄLLT,,,,,,,,,
92,Zonenintervallgrenzen,SG40,RNG,,,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1,,Zonenintervallgrenzen,SG40,RNG,,,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1
93,Zonenintervallgrenzen,SG40,RNG,6167,,,,10,,,Zonenintervallgrenzen,SG40,RNG,6167,,,,10,
94,Zonenintervallgrenzen,SG40,RNG,6411,,KWH,kilowatt hour,X,,,Zonenintervallgrenzen,SG40,RNG,6411,,KWH,kilowatt hour,X,
95,Zonenintervallgrenzen,SG40,RNG,6162,,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0",,Zonenintervallgrenzen,SG40,RNG,6162,,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0"
96,Zonenintervallgrenzen,SG40,RNG,6152,,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall",,Zonenintervallgrenzen,SG40,RNG,6152,,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall"
97,Nachrichten-Endesegment,,UNT,,,,,Muss,,,Nachrichten-Endesegment,,UNT,,,,,Muss,
98,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einer Nachricht,X,,,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einer Nachricht,X,
99,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,,,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
