#,Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Änderung,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt,ÄNDERUNG,Nachrichten-Kopfsegment,,UNH,,00001,,,Muss [14],[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt
18,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",ÄNDERUNG,Nachrichtendatum,,DTM,2380,00004,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00"
19,Nachrichtendatum,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,,ÄNDERUNG,Nachrichtendatum,,DTM,2379,00004,303,CCYYMMDDHHMMZZZ,X,
20,Gültigkeitsbeginn,,DTM,,,,,Muss,,ÄNDERUNG,Gültigkeitsbeginn,,DTM,,00005,,,Muss,
21,Gültigkeitsbeginn,,DTM,2005,,157,"Gültigkeit, Beginndatum",X,,ÄNDERUNG,Gültigkeitsbeginn,,DTM,2005,00005,157,"Gültigkeit, Beginndatum",X,
22,Gültigkeitsbeginn,,DTM,2380,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],,ÄNDERUNG,Gültigkeitsbeginn,,DTM,2380,00005,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],
23,Gültigkeitsbeginn,,DTM,2379,,303,CCYYMMDDHHMMZZZ,X,,ÄNDERUNG,Gültigkeitsbeginn,,DTM,2379,00005,303,CCYYMMDDHHMMZZZ,X,
24,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden ,,Vorgängerversion,SG1,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden 
25,Vorgängerversion,SG1,RFF,,,,,Muss,,ÄNDERUNG,Vorgängerversion,SG1,RFF,,00006,,,Muss,
26,Vorgängerversion,SG1,RFF,1153,,ACW,Referenznummer einer vorangegangenen Nachricht,X,,ÄNDERUNG,Vorgängerversion,SG1,RFF,1153,00006,ACW,Referenznummer einer vorangegangenen Nachricht,X,
27,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT,ÄNDERUNG,Vorgängerversion,SG1,RFF,1154,00006,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT
28,Prüfidentifikator,SG1,,,,,,Muss,,,Prüfidentifikator,SG1,,,,,,Muss,
29,Prüfidentifikator,SG1,RFF,,,,,Muss,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,,00007,,,Muss,
30,Prüfidentifikator,SG1,RFF,1153,,Z13,Prüfidentifikator,X,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,1153,00007,Z13,Prüfidentifikator,X,
31,Prüfidentifikator,SG1,RFF,1154,,27003,Preisblatt NB-Leistungen,X,,ÄNDERUNG,Prüfidentifikator,SG1,RFF,1154,00007,27003,Preisblatt NB-Leistungen,X,
32,Empfänger-ID,SG2,,,,,,Muss,,,Empfänger-ID,SG2,,,,,,Muss,
33,Empfänger-ID,SG2,NAD,,,,,Muss,,ÄNDERUNG,Empfänger-ID,SG2,NAD,,00008,,,Muss,
34,Empfänger-ID,SG2,NAD,3035,,,,MR,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3035,00008,,,MR,
35,Empfänger-ID,SG2,NAD,3039,,,"Beteiligter, Identifikation",X,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3039,00008,,"Beteiligter, Identifikation",X,
36,,,,,,,,,,NEU,Empfänger-ID,SG2,NAD,3055,00008,9,GS1,X,
37,Empfänger-ID,SG2,NAD,3055,,9,GS1,X,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
38,Empfänger-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,ÄNDERUNG,Empfänger-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
39,Empfänger-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,,ENTFÄLLT,,,,,,,,,
40,Sender-ID,SG2,,,,,,Muss,,,Sender-ID,SG2,,,,,,Muss,
41,Sender-ID,SG2,NAD,,,,,Muss,,ÄNDERUNG,Sender-ID,SG2,NAD,,00009,,,Muss,
42,Sender-ID,SG2,NAD,3035,,Nachrichtenaussteller bzw. -absender,,MS,,ÄNDERUNG,Sender-ID,SG2,NAD,3035,00009,Nachrichtenaussteller bzw. -absender,,MS,
43,Sender-ID,SG2,NAD,3039,,,"Beteiligter, Identifikation",X,,ÄNDERUNG,Sender-ID,SG2,NAD,3039,00009,,"Beteiligter, Identifikation",X,
44,,,,,,,,,,NEU,Sender-ID,SG2,NAD,3055,00009,9,GS1,X,
45,Sender-ID,SG2,NAD,3055,,9,GS1,X,,ÄNDERUNG,Sender-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
46,Sender-ID,SG2,NAD,3055,,293,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,ÄNDERUNG,Sender-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,
47,Sender-ID,SG2,NAD,3055,,332,"DE, DVGW Service & Consult GmbH",X,,ENTFÄLLT,,,,,,,,,
48,Ansprechpartner,SG4,,,,,,Kann,,,Ansprechpartner,SG4,,,,,,Kann,
49,Ansprechpartner,SG4,CTA,,,,,Muss,,ÄNDERUNG,Ansprechpartner,SG4,CTA,,00011,,,Muss,
50,Ansprechpartner,SG4,CTA,3139,,,,IC,,ÄNDERUNG,Ansprechpartner,SG4,CTA,3139,00011,,,IC,
51,Ansprechpartner,SG4,CTA,3412,,,Kontakt,X,,ÄNDERUNG,Ansprechpartner,SG4,CTA,3412,00011,,Kontakt,X,
52,Kommunikationsverbindung,SG4,COM,,,,,Muss,,ÄNDERUNG,Kommunikationsverbindung,SG4,COM,,00012,,,Muss,
53,Kommunikationsverbindung,SG4,COM,3148,,,"Kommunikationsadresse, Identifikation",X,,ÄNDERUNG,Kommunikationsverbindung,SG4,COM,3148,00012,,"Kommunikationsadresse, Identifikation",X (([939][37]) ∨ ([940] [38])) ∧ [519],"[37] Wenn im DE3155 in demselben COM der Code EM vorhanden ist
[38] Wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[519] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen"
54,,,,,,,,,,NEU,Kommunikationsverbindung,SG4,COM,3155,00012,EM,E-Mail,X [1P0..1],
55,Kommunikationsverbindung,SG4,COM,3155,,EM,E-Mail,X [1P0..1],,ÄNDERUNG,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],
56,Kommunikationsverbindung,SG4,COM,3155,,FX,Telefax,X [1P0..1],,ÄNDERUNG,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],
57,Kommunikationsverbindung,SG4,COM,3155,,TE,Telefon,X [1P0..1],,ÄNDERUNG,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],
58,Kommunikationsverbindung,SG4,COM,3155,,AJ,weiteres Telefon,X [1P0..1],,ÄNDERUNG,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],
59,Kommunikationsverbindung,SG4,COM,3155,,AL,Handy,X [1P0..1],,ENTFÄLLT,,,,,,,,,
60,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden,,Währungsangaben,SG6,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden
61,Währungsangaben,SG6,CUX,,,,,Muss,,ÄNDERUNG,Währungsangaben,SG6,CUX,,00013,,,Muss,
62,Währungsangaben,SG6,CUX,6347,,2,Referenzwährung,X,,ÄNDERUNG,Währungsangaben,SG6,CUX,6347,00013,2,Referenzwährung,X,
63,Währungsangaben,SG6,CUX,6345,,EUR,Euro,X,,ÄNDERUNG,Währungsangaben,SG6,CUX,6345,00013,EUR,Euro,X,
64,Währungsangaben,SG6,CUX,6343,,8,Währung der Preisliste,X,,ÄNDERUNG,Währungsangaben,SG6,CUX,6343,00013,8,Währung der Preisliste,X,
65,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden",,Produktgruppen- Information,SG17,,,,,,Muss [9] ∧ [27],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[27] Wenn BGM DE1001 = Z70 nicht vorhanden"
66,Produktgruppen- Information,SG17,PGI,,,,,Muss,,ÄNDERUNG,Produktgruppen- Information,SG17,PGI,,00014,,,Muss,
67,Produktgruppen- Information,SG17,PGI,5379,,,,9,,ÄNDERUNG,Produktgruppen- Information,SG17,PGI,5379,00014,,,9,
68,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
69,Positionsdaten,SG36,LIN,,,,,Muss,,ÄNDERUNG,Positionsdaten,SG36,LIN,,00015,,,Muss,
70,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n",ÄNDERUNG,Positionsdaten,SG36,LIN,1082,00015,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
71,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X [942][509],"[509] Hinweis: Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3",ÄNDERUNG,Positionsdaten,SG36,LIN,7140,00015,,Produkt-/Leistungsnummer,X [942] ∧ [41],"[41] Es sind nur Werte aus der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erlaubt, die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[942] Format: n1-n2-n1-n3"
72,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,,ÄNDERUNG,Positionsdaten,SG36,LIN,7143,00015,Z09,Artikel-ID,X,
73,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat",,Preisangaben,SG40,,,,,,Muss [22],"[22] Wenn die Artikel-ID aus dieser SG36 LIN DE7140 in der EDI@Energy Codeliste der Artikelnummern und Artikel-ID in der Spalte ""PRICAT Preisangabe"" ein X hat"
74,Preisangaben,SG40,PRI,,,,,Muss,,ÄNDERUNG,Preisangaben,SG40,PRI,,00018,,,Muss,
75,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,,ÄNDERUNG,Preisangaben,SG40,PRI,5125,00018,CAL,Berechnungspreis,X,
76,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946] [513],"[513] Hinweis: Die anzugebende Einheit ist in der Codeliste definiert
[946] Format: max. 11 Nachkommastellen",ÄNDERUNG,Preisangaben,SG40,PRI,5118,00018,,"Preis, Betrag",X ([946] [513]) ∧ (([968] [48]) ⊻ ([902] [49])),"[48] Wenn in dieser SG36 LIN in DE7140 einer der Codes 1-01-6- 005 / 1-01-9-001 / 1-01-9-002 / 1-02-0-015 / 1-03-8-001 / 1-03- 8-002 / 1-03-8-003 / 1-03-8-004 / 1-03-9-001 / 1-03-9-002 / 1-03- 9-003 / 1-03-9-004 / 1-07-4-001 vorhanden
[49] Wenn in dieser SG36 LIN in DE7140 keiner der Codes 1-01-6- 005 / 1-01-9-001 / 1-01-9-002 / 1-02-0-015 / 1-03-8-001 / 1-03- 8-002 / 1-03-8-003 / 1-03-8-004 / 1-03-9-001 / 1-03-9-002 / 1-03- 9-003 / 1-03-9-004 / 1-07-4-001 vorhanden
[513] Hinweis: Die zum Preis gehörende Einheit ist in der Codeliste definiert
[902] Format: Möglicher Wert: ≥ 0
[946] Format: max. 11 Nachkommastellen
[968] Format: Möglicher Wert: ≤ 0"
77,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden",,Netzbetreiberindividuelle Artikel-ID,SG17,,,,,,Muss [9] ∧ [26],"[9] Wenn BGM DE1373 =11 nicht vorhanden
[26] Wenn BGM DE1001 = Z70 vorhanden"
78,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,,,,Muss,,ÄNDERUNG,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,,00020,,,Muss,
79,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,,Artikel-ID,,Z01,,ÄNDERUNG,Netzbetreiberindividuelle Artikel-ID,SG17,PGI,5379,00020,Artikel-ID,,Z01,
80,Positionsdaten,SG36,,,,,,Muss,,,Positionsdaten,SG36,,,,,,Muss,
81,Positionsdaten,SG36,LIN,,,,,Muss,,ÄNDERUNG,Positionsdaten,SG36,LIN,,00021,,,Muss,
82,Positionsdaten,SG36,LIN,1082,,,Positionsnummer,X [908] [505],"[505] Hinweis: Vom Programm vergebene Positionsnummer innerhalb der Nachricht, mit 1 beginnend
[908] Format: Mögliche Werte: 1 bis n",ÄNDERUNG,Positionsdaten,SG36,LIN,1082,00021,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
83,Positionsdaten,SG36,LIN,7140,,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) [510],"[510] Hinweis: Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8",ÄNDERUNG,Positionsdaten,SG36,LIN,7140,00021,,Produkt-/Leistungsnummer,X ([948] ⊻ [949] ⊻ [957]) ∧ [42],"[42] Es sind nur Werte erlaubt, die die Bildungsvorschrift der EDI@Energy Codeliste der Artikelnummern und Artikel-ID erfüllen, und die in der Spalte ""PRICAT Codeverwendung"" ein X haben
[948] Format: n1-n2-n1-n8-n2
[949] Format: n1-n2-n1-n8-n2-n1
[957] Format: n1-n2-n1-n8"
84,Positionsdaten,SG36,LIN,7143,,Z09,Artikel-ID,X,,ÄNDERUNG,Positionsdaten,SG36,LIN,7143,00021,Z09,Artikel-ID,X,
85,Preisangaben,SG40,,,,,,Muss,,,Preisangaben,SG40,,,,,,Muss,
86,Preisangaben,SG40,PRI,,,,,Muss,,ÄNDERUNG,Preisangaben,SG40,PRI,,00022,,,Muss,
87,Preisangaben,SG40,PRI,5125,,CAL,Berechnungspreis,X,,ÄNDERUNG,Preisangaben,SG40,PRI,5125,00022,CAL,Berechnungspreis,X,
88,Preisangaben,SG40,PRI,5118,,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen,ÄNDERUNG,Preisangaben,SG40,PRI,5118,00022,,"Preis, Betrag",X [946],[946] Format: max. 11 Nachkommastellen
89,Zonenintervallgrenzen,SG40,RNG,,,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1,ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,,00023,,,Muss [24],[24] Wenn in dieser SG36 Wert von LIN DE7140 im Format n1- n2-n1-n8-n2-n1
90,Zonenintervallgrenzen,SG40,RNG,6167,,,,10,,ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6167,00023,,,10,
91,Zonenintervallgrenzen,SG40,RNG,6411,,KWH,kilowatt hour,X,,ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6411,00023,KWH,kilowatt hour,X,
92,Zonenintervallgrenzen,SG40,RNG,6162,,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0",ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6162,00023,,"Wertebereichsgrenze, untere",X ([926] [28] ⊻ [908] [29]) ∧ [511],"[28] Wenn die zugehörige Artikel- ID in der letzten Stelle eine 1 ist
[29] Wenn die zugehörige Artikel- ID in der letzten Stelle > 1 ist
[511] Hinweis: 1. Der genannte Wert gehört nicht zum Intervall.  2. Wenn in dieser SG36 die letzte Ziffer von LIN DE7140 >1, dann ist der Wert identisch mit dem Wert des DE6152 im RNG-Segment, in der SG36, in der die letzte Ziffer von LIN DE7140 um 1 kleiner ist, als die letzte Ziffer von LIN DE7140 in dieser SG36. 3. Die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n hat, muss kleiner sein, als die untere Wertegrenze zu der Artikel-ID, deren Zahl an der letzten Stelle den Wert n+1 hat.
[908] Format: Mögliche Werte: 1 bis n
[926] Format: Möglicher Wert: 0"
93,Zonenintervallgrenzen,SG40,RNG,6152,,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall",ÄNDERUNG,Zonenintervallgrenzen,SG40,RNG,6152,00023,,"Wertebereichsgrenze, obere",S [10] ∧ [512],"[10] Wenn eine weitere Zone für diese Gruppenartikel-ID vorhanden
[512] Hinweis: Der genannte Wert gehört zum Intervall"
94,Nachrichten-Endesegment,,UNT,,,,,Muss,,ÄNDERUNG,Nachrichten-Endesegment,,UNT,,00024,,,Muss,
95,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einer Nachricht,X,,ÄNDERUNG,Nachrichten-Endesegment,,UNT,0074,00024,,Anzahl der Segmente in einer Nachricht,X,
96,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,,ÄNDERUNG,Nachrichten-Endesegment,,UNT,0062,00024,,Nachrichten-Referenznummer,X,
