Segmentname_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Qualifier_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304,Bedinung_FV2304,Unnamed: 0_FV2304,Änderung,changed_entries,Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Bedinung_FV2310,Unnamed: 0_FV2310
Dokumentendatum,,DTM,,,,,,Muss,,,10,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Dokumentendatum,,,,,,,,Muss,,,10
Dokumentendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,11,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Dokumentendatum,,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,,Dokumenten-/Nachrichtendatum/-zeit,11
Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",,12,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],,,12
Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,13,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,CCYYMMDDHHMMZZZ,13
MP-ID Empfänger,SG1,,,,,,,Muss,,,14,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Empfänger,SG1,,,,,,,Muss,,,14
MP-ID Empfänger,SG1,NAD,,,,,,Muss,,,15,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Empfänger,SG1,,,,,,,Muss,,,15
MP-ID Empfänger,SG1,NAD,3035,,,,,MR,,,16,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Empfänger,SG1,NAD,,,,,,Muss,,,16
MP-ID Empfänger,SG1,NAD,3039,,,,MP-ID,X [27],[27] Nur MP-ID aus Sparte Strom,,17,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Empfänger,SG1,NAD,3035,,,,,MR,,,17
MP-ID Empfänger,SG1,NAD,3055,,9,,GS1,X,,,18,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Empfänger,SG1,NAD,3039,,,,MP-ID,X [27],,,18
MP-ID Empfänger,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,19,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Empfänger,SG1,NAD,3055,,9,,GS1,X,,GS1,19
MP-ID Absender,SG1,,,,,,,Muss,,,20,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Absender,SG1,,,,,,,Muss,,,20
MP-ID Absender,SG1,NAD,,,,,,Muss,,,21,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Absender,SG1,,,,,,,Muss,,,21
MP-ID Absender,SG1,NAD,3035,,Nachrichtenaussteller bzw. -absender,,,MS,,,22,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Absender,SG1,NAD,,,,,,Muss,,,22
MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X [27],[27] Nur MP-ID aus Sparte Strom,,23,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Absender,SG1,NAD,3035,,Nachrichtenaussteller bzw.-absender,,,MS,,Nachrichtenaussteller bzw.-absender,23
MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,,,24,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X [27],,,24
MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,25,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,,GS1,25
Ansprechpartner,SG2,,,,,,,Kann,,,26,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Ansprechpartner,SG2,,,,,,,Kann,,,26
Ansprechpartner,SG2,CTA,,,,,,Muss,,,27,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Ansprechpartner,SG2,,,,,,,Kann,,,27
Ansprechpartner,SG2,CTA,3139,,,,,IC,,,28,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Ansprechpartner,SG2,CTA,,,,,,Muss,,,28
Ansprechpartner,SG2,CTA,3412,,,,Kontakt,X,,,29,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Ansprechpartner,SG2,CTA,3139,,,,,IC,,,29
,,,,,,,,,,,,NEU,,Ansprechpartner,SG2,CTA,3412,,,,Kontakt,X,,,30
Kommunikationsverbindung,SG2,COM,,,,,,Muss,,,30,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Kommunikationsverbindung,SG2,,,,,,,,,,31
Kommunikationsverbindung,SG2,COM,3148,,,,Nummer / E-Mail Adresse,X,,,31,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Kommunikationsverbindung,SG2,,,,,,,Muss,,,32
Kommunikationsverbindung,SG2,COM,3155,,EM,,E-Mail,X [1P0..1],,,32,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Kommunikationsverbindung,SG2,COM,,,,,,Muss,,,33
Kommunikationsverbindung,SG2,COM,3155,,FX,,Telefax,X [1P0..1],,,33,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Kommunikationsverbindung,SG2,COM,3148,,,,Nummer / E-Mail Adresse,X,,,34
Kommunikationsverbindung,SG2,COM,3155,,TE,,Telefon,X [1P0..1],,,34,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Kommunikationsverbindung,SG2,COM,3155,,EM,,E-Mail,X [1P0..1],,E-Mail,35
Kommunikationsverbindung,SG2,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,,35,ENTFÄLLT,,,,,,,,,,,,,
Kommunikationsverbindung,SG2,COM,3155,,AL,,Handy,X [1P0..1],,,36,ENTFÄLLT,,,,,,,,,,,,,
Sendungsdaten,SG14,,,,,,,Muss,,,37,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Sendungsdaten,SG14,,,,,,,Muss,,,36
Sendungsdaten,SG14,CNI,,,,,,Muss,,,38,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Sendungsdaten,SG14,,,,,,,Muss,,,37
Sendungsdaten,SG14,CNI,1490,,,,Vorgangsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht bei 1 beginnend und fortlaufend aufsteigend",,39,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Sendungsdaten,SG14,CNI,,,,,,Muss,,,38
,,,,,,,,,,,,NEU,,Sendungsdaten,SG14,CNI,1490,,,,Vorgangsnummer,X [911],,,39
Bestellung,SG15,,,,,,,Muss,,,40,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Bestellung,SG15,,,,,,,Muss,,,40
Bestellung,SG15,STS,,,,,,Muss,,,41,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Bestellung,SG15,,,,,,,Muss,,,41
Bestellung,SG15,STS,9015,,Z21,,Bestellung,X,,,42,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Bestellung,SG15,STS,,,,,,Muss,,,42
Bestellung,SG15,STS,4405,,Z42,,Antwort des Dritten,X [527],[527] Hinweis: Dritter ist hier der MSB,,43,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Bestellung,SG15,STS,9015,,Z21,,Bestellung,X,,Bestellung,43
Bestellung,SG15,STS,9013,,,,Code des Prüfschritts,X,,,44,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Bestellung,SG15,STS,4405,,Z42,,Antwort des Dritten,X [527],,Antwort des Dritten,44
Bestellung,SG15,STS,1131,,E_0474,,EBD Nr. E_0474,X,,,45,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Bestellung,SG15,STS,9013,,,,Code des Prüfschritts,X,,,45
,,,,,,,,,,,,NEU,,Bestellung,SG15,STS,1131,,E_0474,,EBD Nr. E_0474,X,,EBD Nr. E_0474,46
Prüfidentifikator,SG15,RFF,,,,,,Muss,,,46,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Prüfidentifikator,SG15,,,,,,,,,,47
Prüfidentifikator,SG15,RFF,1153,,Z13,,Prüfidentifikator,X,,,47,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Prüfidentifikator,SG15,,,,,,,Muss,,,48
Prüfidentifikator,SG15,RFF,1154,,21034,,GPKE / Ablehnen oder Scheitern Bestellung,X,,,48,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Prüfidentifikator,SG15,RFF,,,,,,Muss,,,49
,,,,,,,,,,,,NEU,,Prüfidentifikator,SG15,RFF,1153,,Z13,,Prüfidentifikator,X,,Prüfidentifikator,50
,,,,,,,,,,,,NEU,,Prüfidentifikator,SG15,RFF,1154,,21034,,GPKE / Ablehnen oderScheitern Bestellung,X,,GPKE / Ablehnen oderScheitern Bestellung,51
Referenz auf die Bestellung,SG15,RFF,,,,,,Muss,,,49,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Referenz auf die Bestellung,SG15,,,,,,,,,,52
Referenz auf die Bestellung,SG15,RFF,1153,,AGI,,Beantragungsnummer,X,,,50,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Referenz auf die Bestellung,SG15,,,,,,,Muss,,,53
Referenz auf die Bestellung,SG15,RFF,1154,,,,"Referenz, Identifikation",X [519],[519] Hinweis: Aus ORDERS BGM DE1004,,51,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Referenz auf die Bestellung,SG15,RFF,,,,,,Muss,,,54
,,,,,,,,,,,,NEU,,Referenz auf die Bestellung,SG15,RFF,1153,,AGI,,Beantragungsnummer,X,,Beantragungsnummer,55
,,,,,,,,,,,,NEU,,Referenz auf die Bestellung,SG15,RFF,1154,,,,"Referenz, Identifikation",X [519],,,56
Sendungspositionseinzelhei ten,SG25,,,,,,,Muss [113],[113] Wenn STS+Z21+Z42+A99: E_0474 in dieser SG14 vorhanden,,52,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Sendungspositionseinzelhei ten,SG25,,,,,,,Muss [113],,,57
Sendungspositionseinzelhei ten,SG25,GID,,,,,,Muss,,,53,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Sendungspositionseinzelhei ten,SG25,,,,,,,Muss [113],,,58
Sendungspositionseinzelhei ten,SG25,GID,1496,,,,Sendungsposition,X [903],[903] Format: Möglicher Wert: 1,,54,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Sendungspositionseinzelhei ten,SG25,GID,,,,,,Muss,,,59
,,,,,,,,,,,,NEU,,Sendungspositionseinzelhei ten,SG25,GID,1496,,,,Sendungsposition,X [903],,,60
Freier Text,SG25,FTX,,,,,,Muss,,,55,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Freier Text,SG25,,,,,,,,,,61
Freier Text,SG25,FTX,4451,,(für allgemeine Hinweise),,,ACB,,,56,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Code_FV2304|Code_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Freier Text,SG25,,,,,,,Muss,,,62
Freier Text,SG25,FTX,4440,,,,Freier Text,X,,,57,ÄNDERUNG,Datenelement_FV2304|Datenelement_FV2310|Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingungsausdruck_FV2304|Bedingungsausdruck_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Freier Text,SG25,FTX,,,,,,Muss,,,63
,,,,,,,,,,,,NEU,,Freier Text,SG25,FTX,4451,,(für allgemeine Hinweise),,,ACB,,(für allgemeine Hinweise),64
,,,,,,,,,,,,NEU,,Freier Text,SG25,FTX,4440,,,,Freier Text,X,,,65
Nachrichten-Endesegment,,UNT,,,,,,Muss,,,58,ÄNDERUNG,Segment_FV2304|Segment_FV2310|Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Nachrichten-Endesegment,,,,,,,,Muss,,,66
Nachrichten-Endesegment,,UNT,0074,,,,Anzahl der Segmente in einer Nachricht,X,,,59,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Beschreibung_FV2304|Beschreibung_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Nachrichten-Endesegment,,UNT,0074,,,,Anzahl der Segmente in einerNachricht,X,,,67
Nachrichten-Endesegment,,UNT,0062,,,,Nachrichten-Referenznummer,X,,,60,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310|Bedingung_FV2304|Bedingung_FV2310|Bedinung_FV2304|Bedinung_FV2310,Nachrichten-Endesegment,,UNT,0062,,,,Nachrichten-Referenznummer,X,,,68
